Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
90,-18.69655,-14.4993,-7.84044,2.00825,0.19885,-1.81529,-2.45652,-1.3949,-2.09983,-2.40275,-2.24607,-2.90919,-8.30312,-14.73757,-17.46089,-11.0156,-9.02761,-9.09513,-9.20422,-7.0511,-128.8903755551324,-76.76002818282237,53.076414692820414,-57.08661918948772,-78.6254073464102,-31.815776313844964,5.89144737231004,-151.4892220392306,-125.9283020910303,25.021701202818264,-178.27630209103052,-97.95256656179791,141.6695722612836,176.43944287564278,139.06219715025713,154.3008530717959,78.29886326794896,69.7817073464102,-163.40200044410602,67.22565592153875
91,-17.72325,-14.0185,-7.69594,2.00535,0.14795,-1.77189,-2.45422,-1.5855,-2.17953,-2.66485,-2.42977,-2.93749,-8.23762,-14.29197,-14.60659,-11.2986,-9.13441,-9.00503,-8.37242,-7.6601,-127.7909682087222,-75.49842818282237,51.63461469282041,-57.47171918948772,-78.8874073464102,-32.369776313844966,7.23104002589983,-152.10922203923062,-127.43730209103029,24.596701202818252,-179.25530209103053,-98.61385921538769,142.0480796076938,177.68233552923255,138.56649715025713,154.6101677646163,77.31177061435918,68.3005,-162.19251513692643,68.72945592153874
92,-17.90625,-13.961,-8.06994,2.04525,0.19335,-1.96499,-2.34942,-1.7209,-2.28923,-2.82915,-2.53007,-3.14879,-7.65912,-15.54497,-13.96199,-11.152,-8.79751,-9.21193,-7.35842,-8.1345,-126.94637555513242,-76.36352818282236,52.1640073464102,-57.99051918948772,-79.49300734641021,-33.79777631384496,7.385040025899826,-152.89822203923063,-127.03130209103031,25.79629385640807,-180.64989474462033,-99.43575921538769,143.1511796076938,177.77684287564279,139.4861898038469,154.31007511102655,76.02317796076937,68.29047061435918,-162.34212248333665,70.28113388230813
93,-17.72525,-13.6936,-8.19504,1.97645,0.11105,-1.95619,-2.33522,-1.8677,-2.42163,-3.08295,-2.28177,-3.50919,-7.45982,-15.45707,-14.20389,-12.3747,-8.66181,-9.73983,-7.22822,-8.7829,-125.66178290154264,-75.76152818282236,51.92230734641021,-58.47321918948772,-79.6610073464102,-34.34077631384497,7.022040025899827,-152.71022203923062,-127.74530209103031,26.279293856408074,-180.39989474462033,-98.61685921538769,144.3267722612836,179.15911349000194,140.14568980384692,152.79048245743672,75.27847796076938,68.82357061435917,-163.15731513692643,71.39512653589792
94,-17.51145,-14.0838,-8.29364,1.98775,0.19735,-2.07609,-2.42492,-1.9868,-2.43643,-3.26375,-2.56257,-3.45659,-8.01012,-14.52087,-13.20589,-11.2086,-8.99091,-10.37823,-7.16252,-9.0074,-125.95996820872219,-76.87832818282237,50.974307346410214,-58.91351918948772,-80.1721073464102,-34.66177631384497,6.546040025899828,-151.57262938564082,-127.84230209103029,27.267293856408074,-179.6898947446203,-98.16565921538769,142.851686954104,180.27772818282233,139.02008980384693,151.6401457253857,76.46367061435917,69.05046326794897,-164.10662982974685,71.35882653589792
95,-17.26955,-13.8264,-8.19664,2.00155,0.12475,-2.15569,-2.44752,-2.2133,-2.61673,-3.45365,-2.63257,-3.66789,-8.01282,-11.77087,-13.17149,-12.1798,-8.73641,-9.91213,-7.20252,-8.9,-126.87878290154265,-76.04502818282236,49.54620734641021,-59.05101918948772,-80.5678073464102,-35.85577631384497,5.498040025899826,-151.64862938564085,-128.6853020910303,25.74829385640807,-178.63589474462032,-97.24535921538768,143.451686954104,181.01955022205297,138.8865824574367,150.62944572538572,75.27956326794896,68.42015592153876,-164.27483717615706,71.81338245743667
96,-17.22005,-13.5359,-8.33404,1.98565,0.15895,-2.26089,-2.40192,-2.0221,-2.75853,-3.79325,-2.90647,-3.66679,-8.10452,-12.36667,-11.59009,-12.1891,-8.13381,-8.37173,-6.34142,-8.8376,-126.89578290154265,-75.84162818282236,48.78450734641021,-59.01361918948772,-81.42790734641021,-37.18177631384496,5.134040025899822,-150.25103673205103,-127.6903020910303,25.38329385640806,-179.70289474462032,-96.10835921538768,144.6210016469244,182.41203552923258,140.1958677646163,150.77373103256528,75.99916326794897,68.64744857512855,-165.68182982974685,70.60728980384688
97,-17.43105,-13.7728,-8.46454,1.97595,0.13915,-2.32359,-2.50162,-2.3394,-2.89113,-3.92835,-2.85517,-3.83199,-8.20442,-10.92827,-11.45909,-10.9735,-6.93081,-8.66323,-6.85672,-8.9203,-127.65037555513243,-75.90652818282237,48.06870734641021,-59.63351918948772,-81.1099073464102,-37.86777631384497,4.22904002589982,-150.70003673205102,-127.07970943744053,26.481293856408072,-178.9258947446203,-96.90585186897746,145.6693943005142,182.30202818282237,138.9506824574367,151.8136236861551,74.58976326794897,69.46754857512855,-165.90902982974683,70.98528245743668
98,-17.45945,-13.5739,-8.34974,1.90395,0.16435,-2.48719,-2.55412,-2.4131,-3.08063,-4.29395,-2.83317,-3.84859,-7.81612,-11.29047,-10.77749,-10.2694,-8.28051,-8.36043,-7.53852,-10.6549,-128.08537555513243,-77.02052818282236,49.4781,-59.80331918948772,-81.8681073464102,-39.42977631384497,4.027040025899822,-149.55844407846124,-125.8487094374405,25.676293856408066,-177.52289474462032,-97.88394452256725,145.8153016469244,181.68793552923256,138.6192677646163,150.86111633974485,73.21175592153875,69.61003388230814,-164.54012982974683,71.15357572538565
99,-17.30315,-13.4116,-8.31374,1.93575,0.05505,-2.58949,-2.49842,-2.6249,-3.08073,-4.27135,-3.39767,-4.01109,-7.77412,-10.59157,-10.75869,-9.2083,-7.35741,-8.51583,-6.97012,-10.1441,-126.80878290154263,-76.00362818282235,50.9022926535898,-60.365019189487725,-82.13080734641021,-40.00277631384496,3.268040025899836,-148.62044407846125,-125.2297094374405,24.303293856408075,-177.3058947446203,-96.98614452256726,146.81750899333463,181.35084287564277,138.53086776461632,150.90250899333466,74.04984122871834,70.27433388230814,-166.04613717615706,71.91037572538565
100,-17.26385,-13.8655,-8.49194,1.87725,0.04425,-2.64029,-2.62012,-2.7336,-3.44273,-4.66685,-3.50617,-4.08969,-7.56352,-10.43657,-10.31159,-9.1058,-7.59251,-8.40743,-6.65192,-8.7772,-125.75819024795285,-77.19542818282235,50.59378530717959,-60.20281918948772,-81.95360734641021,-41.00477631384497,3.417040025899837,-147.45085142487144,-126.51970943744053,24.80029385640806,-178.31648739821009,-96.52933717615703,145.9146163397448,180.91363552923258,137.29615307179589,151.39499430051424,73.29262653589792,69.14281184307751,-166.32753717615705,71.32454633974481
101,-16.63305,-13.2409,-8.41554,1.81935,0.03245,-2.65539,-2.52682,-2.6946,-3.38953,-4.85265,-3.91947,-3.98339,-8.27352,-8.98367,-9.60239,-8.8916,-7.77421,-7.48193,-7.61742,-10.3191,-125.51678290154263,-76.41232818282236,50.75388530717959,-61.404819189487725,-82.41590734641021,-41.05777631384497,4.891632679489618,-148.74885142487145,-126.74370943744051,24.578293856408052,-179.0194873982101,-97.22233717615704,146.05262368615502,181.09515022205298,138.70775307179588,151.02018695410405,72.71774122871834,68.42820449666732,-166.30614452256728,72.26802899333461
102,-17.23495,-13.4766,-8.46604,1.80215,-0.00645,-2.85059,-2.48322,-3.1047,-3.68913,-5.11125,-4.12317,-4.32639,-7.81622,-8.81707,-8.63159,-7.9741,-7.25621,-7.59163,-8.40042,-8.8162,-126.11778290154263,-77.94402818282236,49.26478530717959,-61.395119189487716,-82.43260734641021,-40.266183660255166,4.972632679489607,-150.25485142487145,-127.83770943744051,24.212293856408067,-177.4854873982101,-96.95992982974681,144.66373103256524,182.48785756846317,138.0485677646163,150.98747226128364,74.10951918948771,69.75928245743668,-164.9461592153877,72.81277960769378
103,-16.91425,-13.5126,-8.39494,1.77915,-0.02955,-2.83539,-2.78452,-3.2557,-3.75413,-5.38215,-4.33657,-4.25469,-7.75952,-7.90587,-8.74459,-7.4268,-6.20941,-7.13553,-7.64422,-8.4686,-126.59778290154264,-76.92322818282236,48.705485307179586,-61.419519189487715,-83.1192073464102,-40.854183660255174,4.038632679489609,-151.35785142487143,-128.74970943744052,25.59529385640805,-178.22208005179988,-96.77952248333659,144.68533837897542,182.60805022205295,136.6323677646163,149.48847960769382,74.01131918948772,70.31518245743669,-163.8722739082081,73.922786954104
104,-17.19935,-13.2908,-8.38644,1.78585,-0.07875,-2.82069,-2.75952,-3.3629,-4.00453,-5.49515,-4.54897,-4.24149,-7.56842,-8.30997,-8.28899,-6.9822,-5.56541,-5.73733,-9.21712,-8.0318,-126.72578290154263,-76.28492818282237,49.75087796076937,-61.71931918948772,-83.31150734641021,-39.68159100666537,3.9336326794896195,-152.87285142487144,-127.40570943744052,24.854293856408063,-177.28308005179989,-96.49211513692639,143.47055307179585,183.46335756846318,135.6854530717959,149.61687960769382,75.40950449666731,70.65626776461627,-163.6152759474387,73.62317960769379
105,-16.40915,-13.3581,-8.40014,1.68265,-0.25295,-2.96129,-2.89682,-3.4089,-4.42163,-5.86085,-4.62717,-4.20809,-7.13052,-7.17067,-8.01309,-6.2966,-6.24901,-5.87133,-8.26242,-8.3771,-126.46878290154262,-74.91493552923257,48.625377960769384,-62.29911918948772,-83.64670734641021,-40.76459100666537,3.3336326794895967,-152.68785142487144,-126.23711678385072,25.928886509997852,-178.19208005179988,-95.56211513692638,144.29565307179584,183.5261649148734,135.75064572538568,150.1588649148734,76.6474971502571,70.59446041820607,-163.60971329384893,73.723286954104
106,-16.94695,-13.3096,-8.54804,1.69225,-0.23535,-2.90939,-2.89282,-3.6147,-4.57613,-6.04015,-4.97207,-4.08569,-6.76872,-6.92937,-8.02419,-5.5892,-5.52111,-5.62773,-8.33672,-7.6562,-125.89878290154263,-73.37183552923257,47.60347796076938,-62.79531918948772,-82.81020734641021,-41.50559100666537,2.4826326794895976,-153.35585142487145,-127.14211678385072,25.60888650999786,-179.71867270538965,-95.60370779051617,142.78486041820605,184.21425756846318,134.6661604182061,150.2970649148734,76.17768980384689,69.96456041820606,-163.52403267948975,75.00636491487336
