Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
70,-15.41019,-5.32331,-28.56197,-23.84339,-28.05065,-20.29777,-25.38534,-19.44284,-25.86296,-24.10225,-31.26444,-29.50797,-31.13411,-20.99579,-20.96008,-22.47298,-21.84305,-22.6709,-25.70782,-26.98548,42.5672175425633,-181.5690751110265,-25.045071817177615,-84.38693267948969,175.40185307179587,146.56914287564277,154.19401513692628,83.93555921538751,29.81129385640827,-2.8798914507712823,-84.34825877128168,-93.0286293856409,-113.72022698000396,-27.418594300514165,-107.82406041820597,-180.5693338823081,-183.84414616949172,172.3485502220529,172.80312390820808,128.18191064025908
71,-15.31325,-5.27196,-28.27924,-24.00036,-27.51942,-19.98703,-25.1008,-19.45703,-25.29788,-24.44556,-33.47921,-29.36576,-31.4606,-21.85247,-20.69238,-22.34856,-22.57232,-23.25001,-25.55115,-25.81419,43.3040175425633,-181.9080751110265,-24.91229385640824,-83.61472533307948,173.99648245743668,146.29302818282235,155.00792248333653,83.45796656179773,30.054923242049114,-3.1456694115406663,-84.81448081051231,-94.44178290154275,-112.2136343264142,-27.819472261283536,-107.24073837897535,-181.0365191894877,-184.83206086231215,172.35569879718145,174.33905471872038,127.92864002589991
72,-15.29352,-5.28675,-27.96385,-24.08056,-27.28722,-19.68208,-24.61615,-19.54941,-24.76409,-24.14446,-32.35065,-30.486,-29.49325,-22.14944,-19.92648,-22.6816,-22.87213,-23.29215,-25.78094,-26.03612,43.81961754256329,-181.7740751110265,-25.444071817177615,-83.78922533307947,175.41226041820607,146.70083552923256,154.94389309769568,84.38887390820796,31.094886509998076,-2.6465208364121082,-85.85551754256335,-93.86700494077337,-111.34693147667127,-26.48181633974479,-106.12983103256515,-181.59811184307748,-184.7948947446203,173.90932083641206,175.2497943005143,128.89430410436117
73,-15.20652,-5.24977,-27.58699,-23.82614,-26.83329,-19.18914,-24.36504,-19.60229,-24.12922,-24.32203,-32.60949,-29.83906,-29.91052,-22.14543,-19.84138,-22.57151,-22.00781,-24.08226,-27.5604,-25.60531,42.9538175425633,-181.17907511102652,-26.24529385640824,-82.34942533307948,175.4112604182061,146.09433552923255,153.6326224833365,84.08574452256714,32.19133058845932,-3.1595208364120992,-85.89807346410208,-94.6206343264142,-110.43718530717967,-27.246675111026445,-104.71576041820597,-180.78007511102643,-183.61570943744073,173.05786491487333,174.63103837897557,128.63431614359178
74,-15.21337,-5.24264,-27.23385,-23.77759,-26.55796,-19.04831,-24.00983,-19.49805,-24.41837,-24.67549,-33.60276,-29.25867,-28.99267,-22.84432,-20.23998,-22.54969,-23.46122,-26.41646,-25.89089,-25.83917,43.88371754256329,-180.9480751110265,-25.48247916358784,-83.5361326794897,176.43785307179587,147.30242083641213,155.03658575128546,84.53815186897735,32.50810854922872,-2.313928182822309,-84.37748081051231,-95.15319024795298,-110.61685636564478,-27.21224287564273,-104.04093103256515,-180.3124457253856,-182.08567270538973,172.36416656179773,173.19222368615516,127.43225022205303
75,-15.15021,-5.24599,-26.90668,-23.65851,-26.37683,-18.62554,-23.68596,-19.49749,-23.79601,-24.91046,-33.55917,-29.49313,-29.02598,-23.01718,-20.29842,-22.99862,-23.21656,-26.84831,-25.80908,-26.85339,42.8788248889735,-180.9350751110265,-24.720257124357204,-83.26392533307947,175.2862604182061,148.06823552923254,154.42416371205485,85.15415186897735,34.029293856408316,-2.017298797181482,-83.94869145077135,-93.9599298297469,-109.2449314766713,-27.084764914873347,-105.09400899333453,-180.6464457253856,-182.19330209103055,173.02286206513043,173.26364167282438,126.31301145077137
76,-15.1097,-5.23899,-26.38252,-23.11246,-26.69951,-18.32642,-23.30249,-19.34039,-22.85973,-25.7299,-34.14563,-28.61272,-27.94979,-23.08202,-20.89885,-23.02912,-22.94853,-26.30721,-25.7717,-27.20764,44.3648175425633,-182.2710751110265,-25.08166447076742,-81.79363267948969,175.30044572538566,147.66372083641212,155.8065563656446,84.61833717615694,35.529293856408316,-1.4941134900018795,-85.36559100666543,-95.27496820872238,-109.15900494077334,-28.303272261283553,-105.9390796076937,-180.46266776461624,-181.6563020910305,174.16675390820797,174.2834987971816,127.23821513692641
77,-15.19795,-5.2274,-26.10613,-22.80853,-26.56628,-18.21486,-23.10184,-19.21209,-22.27413,-25.40767,-36.32704,-28.33946,-29.5256,-23.94131,-22.04412,-22.97682,-22.94829,-27.13582,-26.9373,-26.25616,45.0980175425633,-181.5330751110265,-26.297479163587838,-83.30034002589991,174.8496677646163,146.12342083641212,156.371371058465,83.30992982974674,35.85770120281853,-2.565298797181484,-84.11178290154268,-95.22896162102472,-108.06607840487541,-26.86939430051418,-105.75408695410391,-180.2518530717958,-180.3306727053897,173.89964329384875,174.25455186897747,126.5114106402591
78,-15.2813,-5.20778,-25.89581,-22.648,-26.67513,-18.14105,-22.67452,-19.31519,-21.90894,-26.1745,-34.76062,-27.70142,-28.49252,-24.89933,-22.78624,-23.50915,-24.5819,-27.88522,-26.26127,-27.62567,44.731824888973506,-181.2490751110265,-24.936479163587848,-83.84153267948969,174.75403837897545,145.03993552923254,156.809971058465,84.15233717615695,35.218515895638916,-2.726113490001879,-85.40711798666932,-94.56677631384514,-107.66863432641415,-26.25210164692438,-104.90680899333452,-180.09203837897542,-179.88059924128765,174.84419145077126,174.46712083641222,124.97826371205497
79,-15.34545,-5.19629,-25.74257,-22.64892,-26.54155,-18.18545,-22.46148,-19.57114,-21.28331,-26.00329,-33.23944,-28.5561,-29.01821,-25.9661,-22.4064,-22.98975,-24.74457,-28.53773,-28.41871,-26.30834,46.2620175425633,-181.6820751110265,-25.289664470767434,-85.26953267948969,173.24726041820608,146.46002818282233,158.09493432641398,84.44315186897735,35.06892324204915,-4.022298797181477,-85.70563432641416,-95.87463432641425,-106.95720329384893,-24.86190164692438,-105.45990614359164,-179.24281633974476,-180.16530209103053,173.80225921538755,174.08153267948975,125.49028125461828
