Frequency(MHz),S11,Impedance
634.25,(0.089649841-0.068525463j),(59.22893549776572-8.222070709806435j)
639.0,(0.048702519-0.06779255j),(54.58844151808803-7.453312231609975j)
643.75,(0.019163944-0.051917169j),(51.6689866957407-5.381496665067053j)
648.5,(0.0036676659-0.028936455j),(50.2835281254826-2.9125319931180793j)
653.25,(5.6017227e-05-0.0038963449j),(50.004083654050184-0.3896722296823775j)
658.0,(0.0027700744+0.014939757j),(50.255275805370545+1.5019499716668103j)
662.75,(0.0093297306+0.02819922j),(50.86003816055469+2.870959685729191j)
667.5,(0.016304523+0.030957589j),(51.556894190474026+3.1960669373548236j)
672.25,(0.022024332+0.031318437j),(52.14727865697107+3.2711377348294035j)
677.0,(0.023560815+0.03220281j),(52.30166170208057+3.3738926346717406j)
681.75,(0.019227007+0.038051121j),(51.80715176149386+3.949819456684373j)
686.5,(0.013536751+0.05037719j),(51.10856072089147+5.163461668973829j)
691.25,(0.0074055362+0.065658748j),(50.307170751885046+6.635180315007305j)
696.0,(0.012220167+0.084063917j),(50.50917947709388+8.55372324786117j)
700.75,(0.031028735+0.10303728j),(52.048322384141606+10.851489560967595j)
705.5,(0.060392659+0.12221976j),(54.65668673058973+13.613255853231847j)
710.25,(0.097497888+0.13266866j),(58.45933697371838+15.94362462920383j)
715.0,(0.13795647+0.12605976j),(63.57470972264494+16.608442789085473j)
719.75,(0.17733079+0.10161077j),(69.72900337923545+14.7881506647085j)
724.5,(0.21023074+0.058078472j),(75.93819776632508+9.261310186600545j)
729.25,(0.2302503+0.0047415099j),(79.90743071577685+0.8002047533404952j)
734.0,(0.23125941-0.053726096j),(79.45060498554938-9.047103432787003j)
738.75,(0.20292377-0.11190718j),(73.03336215383084-17.27352552534898j)
743.5,(0.15177102-0.16238184j),(63.72491878202124-21.77108068823016j)
748.25,(0.080494002-0.19782972j),(53.94268826197751-22.363043807914664j)
753.0,(0.00056190649-0.2035771j),(46.07024382359267-19.568697411976544j)
757.75,(-0.080831558-0.1754494j),(40.14596949861517-14.633229520256414j)
762.5,(-0.14972176-0.11112191j),(36.17258957747149-8.328678360836387j)
767.25,(-0.19090167-0.024328569j),(33.93496017557326-1.7146818428289605j)
772.0,(-0.19761439+0.07167837j),(33.201292244747684+4.979677147998493j)
776.75,(-0.16315846+0.16441527j),(34.28867826255758+11.914409146352714j)
781.5,(-0.097668283+0.24462394j),(36.79164505552673+19.342195179893405j)
786.25,(-0.0079063+0.29944184j),(41.16864349124815+27.085559795908978j)
791.0,(0.090849094+0.31815723j),(47.99214263381844+34.29233635074943j)
795.75,(0.19392151+0.29491591j),(59.41183581569553+40.02996175267801j)
800.5,(0.28709096+0.23340513j),(76.69045331415153+41.47822522428453j)
805.25,(0.3579092+0.14556716j),(98.12794820729188+33.581799859400824j)
810.0,(0.39290988+0.046577904j),(113.75624697533719+12.563905258444242j)
814.75,(0.3877877-0.063757531j),(111.58947403313563-16.828387636023226j)
819.5,(0.34102386-0.17159079j),(92.11476295430896-37.005261595651405j)
824.25,(0.26070967-0.26117426j),(70.25631157769836-42.48378737299972j)
829.0,(0.15983815-0.31436273j),(54.4073781841423-39.06603047747219j)
833.75,(0.045791518-0.32190788j),(44.09054801522877-31.74200335773216j)
838.5,(-0.066240266-0.28339559j),(37.59912831580627-23.28293860601924j)
843.25,(-0.16026589-0.21442646j),(33.34072128889019-15.402034993740408j)
848.0,(-0.21934915-0.12455541j),(31.164063294762812-8.290835468204602j)
852.75,(-0.24052823-0.024249768j),(30.580030340019427-1.575173376891578j)
857.5,(-0.22442223+0.078929499j),(31.333198532434846+5.24295333337146j)
862.25,(-0.18045509+0.17502269j),(32.890889245905676+12.28999437184051j)
867.0,(-0.11544211+0.25066915j),(35.34068461130273+19.1782941312242j)
871.75,(-0.031091113+0.29487705j),(39.65219507791274+25.639222836167946j)
876.5,(0.070462234+0.3061716j),(47.05112900401198+31.96674792120792j)
881.25,(0.17514564+0.29170758j),(57.75676511030252+38.10789722800857j)
886.0,(0.2675781+0.25109822j),(72.17372538610404+41.88515522981977j)
890.75,(0.33634219+0.18635209j),(89.66780303286026+39.218082886543364j)
895.5,(0.3760722+0.095517613j),(106.6046437311016+23.974731938391333j)
900.25,(0.38947836-0.0060869721j),(113.77807781714324-1.632886575919864j)
905.0,(0.37678072-0.1045078j),(106.06851678989358-26.171169381946655j)
909.75,(0.33637846-0.19159515j),(89.09419630718558-40.15808981366799j)
914.5,(0.26435846-0.25968477j),(70.8734658505885-42.66887671747428j)
919.25,(0.16897808-0.30856583j),(55.75350270483685-39.26721612532823j)
924.0,(0.064363539-0.33150473j),(44.958493966081086-33.644680616430506j)
928.75,(-0.035795469-0.32056072j),(38.10545921270161-27.267110434863532j)
933.5,(-0.13084604-0.26753733j),(33.7422438353036-19.811871405506345j)
938.25,(-0.20636843-0.17705262j),(31.145544536981394-11.909322976563008j)
943.0,(-0.25736997-0.06843292j),(29.296201041305494-4.315731019219089j)
947.75,(-0.26709625+0.048205875j),(28.806540386221013+2.998144959422476j)
952.5,(-0.22902077+0.15776068j),(30.04665825901267+10.275021827881277j)
957.25,(-0.15056261+0.25352374j),(32.889462725390295+18.264496355162752j)
962.0,(-0.046277989+0.32205561j),(37.304969759829845+26.873408011676666j)
966.75,(0.068407059+0.35365301j),(43.82206638681353+35.61690382335822j)
971.5,(0.18189369+0.3360219j),(54.58926888352041+42.958090434299926j)
976.25,(0.29205909+0.27454138j),(72.78845829183365+47.61769282059494j)
981.0,(0.38168275+0.18667649j),(98.21910701571434+44.748909477501925j)
985.75,(0.43670306+0.082657434j),(123.78429787638825+25.5008737167184j)
990.5,(0.451933-0.029448396j),(131.93418869922513-9.775574947503692j)
995.25,(0.4204585-0.14790992j),(111.99817598258181-41.34498953005022j)
1000.0,(0.35624206-0.25803611j),(83.83548428655199-53.64498921018046j)
