Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
36,-15.6,-16.8,-23.1,-14.6,-11.9,-10.3,-10.8,-9.0,-10.1,-11.7,-13.1,-13.9,-11.8,-13.0,-11.7,-10.1,-8.6,-8.1,-7.7,-6.6,-0.5126553071795863,18.632224888973496,86.71707346410209,116.17119715025707,-2.6686953071795863,-49.60064857512855,154.90634167282434,175.11493147667113,74.75089309769581,104.41674616949155,27.519552627689933,-40.43674452256715,28.926071817177643,-43.634373908208005,-51.825003293848795,-130.59146371205483,-55.911362065130476,-98.74780329384879,-153.83632248333657,169.25318410436108
37,-15.0,-16.7,-22.2,-14.8,-11.8,-10.2,-10.3,-8.3,-9.7,-10.2,-13.4,-12.5,-11.3,-11.9,-10.8,-8.8,-9.4,-8.9,-6.5,-7.5,-0.3286426535897933,19.299432235383705,87.1848881569225,117.22698980384686,-2.9637179607693795,-49.48394857512855,154.3649490192346,174.43233882308132,74.0614857512856,104.81974616949154,27.96311513692632,-41.71952248333653,28.94666447076746,-42.0999665617978,-50.662595947438575,-129.85866371205483,-55.01206941154069,-98.03557390820795,-152.82312248333656,169.13488410436108
38,-15.0,-16.9,-22.1,-14.3,-11.6,-9.9,-10.0,-8.1,-9.7,-10.2,-13.1,-11.7,-11.6,-12.7,-11.3,-9.7,-9.4,-7.6,-7.6,-6.6,0.31677469282041404,20.868132235383698,87.60548081051229,117.09269715025707,-2.4203579607693797,-49.21424857512855,153.46454901923457,175.62733882308135,75.45589309769582,104.75015351590176,28.801552627689944,-41.35792982974675,29.374257124357257,-42.11318860102841,-51.47759594743857,-131.16204167282422,-55.46316941154069,-98.06018860102836,-153.63192248333658,170.14147675795084
39,-15.2,-16.9,-22.4,-14.5,-11.4,-9.9,-9.7,-7.8,-9.7,-10.0,-12.9,-11.9,-12.5,-12.5,-9.7,-9.3,-9.4,-8.7,-6.1,-7.4,-0.27592530717958663,20.063932235383703,87.4664808105123,116.11009715025706,-3.694777960769379,-48.28594857512855,153.04554901923456,176.69033882308133,75.56989309769583,105.36715351590178,28.663115136926336,-40.99911513692635,29.74307181717765,-41.942373908208,-50.77359594743858,-130.57304167282422,-56.93725471872028,-98.18158860102835,-152.90751513692635,168.99519145077124
40,-15.0,-16.6,-22.2,-14.0,-11.2,-9.5,-9.5,-7.9,-9.2,-10.1,-12.8,-12.1,-11.0,-11.9,-10.3,-9.5,-8.3,-8.9,-7.8,-5.6,-1.6723253071795865,20.119246928204113,87.0508881569225,116.87689715025707,-4.834830614359173,-49.13024857512855,154.37214901923457,177.60433882308132,76.6778930976958,106.05215351590178,29.984115136926334,-40.88892982974676,28.973664470767446,-43.16537390820801,-50.713188601028364,-129.15644901923443,-57.912647372310076,-99.43307390820794,-151.71230779051615,169.02259879718147
41,-15.3,-16.4,-21.5,-14.1,-11.0,-9.4,-9.6,-7.5,-9.2,-9.2,-11.5,-10.9,-11.2,-12.1,-10.8,-10.0,-8.6,-6.9,-6.6,-6.0,-2.684687960769379,19.37634692820412,85.8954808105123,117.34378980384686,-3.7437106143591716,-47.57924857512855,155.77804901923457,177.22533882308133,75.4578930976958,104.59374616949154,31.304115136926328,-39.86592982974676,29.68907181717765,-44.71078125461821,-49.86118860102836,-127.92844901923442,-58.72633267948966,-100.06186656179773,-150.27890779051614,169.72299145077125
42,-15.2,-16.8,-22.5,-14.1,-11.1,-9.4,-8.8,-7.3,-8.8,-9.0,-11.7,-10.5,-10.5,-11.6,-10.8,-10.0,-9.8,-7.6,-6.7,-5.9,-2.594247960769379,18.202254274614333,87.1228881569225,116.22609715025706,-2.78106796076938,-47.02624857512855,156.11244901923456,176.55074616949156,75.08330044410604,105.255560862312,32.3897077905161,-39.24792982974677,29.196071817177653,-45.34596656179781,-51.189595947438576,-128.79485636564465,-57.86064002589988,-100.92236656179773,-151.16290779051613,168.37010614359167
43,-15.5,-16.7,-21.3,-13.6,-10.6,-9.0,-8.7,-7.4,-8.8,-9.2,-11.4,-10.9,-10.0,-12.2,-10.0,-10.0,-9.4,-7.9,-6.9,-6.0,-2.845900614359172,18.180461621024534,86.0938881569225,117.10970449666728,-1.9233479607693793,-46.71344857512855,154.65625636564477,177.98233882308134,75.68070779051624,104.08056086231198,31.94170779051612,-39.34333717615698,29.316479163587857,-45.860188601028455,-51.51178125461817,-129.10785636564464,-58.66995471872029,-101.04036656179774,-152.46010779051613,169.93300614359168
44,-15.0,-16.7,-21.9,-13.5,-10.6,-9.1,-8.7,-7.0,-8.3,-8.8,-11.6,-10.6,-11.2,-10.9,-10.1,-11.0,-9.2,-7.3,-8.1,-6.4,-2.419470614359172,19.597161621024526,87.5568881569225,117.14989715025706,-0.9385679607693795,-45.57584857512855,154.46065636564478,178.38133882308134,74.26030044410604,104.27456086231197,32.5627077905161,-40.15692982974676,29.282071817177638,-45.25437390820804,-52.69718860102839,-128.26644901923441,-59.05522533307948,-101.08805921538752,-153.1744004441059,171.39099879718145
45,-15.2,-16.8,-21.6,-13.5,-10.6,-8.7,-8.5,-6.9,-8.5,-8.5,-11.5,-10.0,-10.2,-11.3,-10.9,-10.3,-9.3,-7.6,-7.4,-6.7,-1.8477706143591721,19.920268967434737,88.13166611769188,118.37909715025707,-1.1200579607693797,-44.39314857512855,154.4851563656448,179.51033882308133,72.86770779051625,105.48796820872221,31.016707790516108,-39.33392982974675,28.223664470767446,-44.75818860102845,-53.735373908207976,-129.51485636564465,-57.94822533307948,-100.87627390820792,-152.1070930976957,171.43379879718145
