Frequency(MHz),Z_A (TVPol),Z_A (BVPol),Z_A (HPols)
103.4375,(-1.341568440552219+60.9553779676787j),(1.7888449837676457+21.487798179053605j),(24.311426969930544+83.56342250552883j)
104.625,(-3.1573082094719123+67.67079895634785j),(1.835994376165873+23.53106524216405j),(28.031264928964948+85.64562442623235j)
105.8125,(-1.6011194726740325+75.64895658368339j),(1.927633911129336+25.55706930905902j),(35.7590328307863+88.83619191550066j)
107.0,(1.9612501317958762+80.73241607063062j),(2.0958234895233807+27.660038063647878j),(38.8161933562516+83.75630861709357j)
108.1875,(2.421633096188503+84.44897631064723j),(3.016375400292931+29.534776636160743j),(35.53727790197975+86.63803796496833j)
109.375,(-0.16605160126346155+92.13606887342196j),(3.383924464726385+31.86113670156885j),(43.458587858221165+96.76552597421282j)
110.5625,(-0.6169317978688325+106.16299895776957j),(4.009186934287482+34.746980133997944j),(58.11181599266432+82.5917621295294j)
111.75,(7.738055557596273+121.3844659428496j),(5.553430164054139+37.69623302786037j),(37.81491457155484+74.20296639504843j)
112.9375,(17.78657151253974+130.73032311904805j),(7.8618846099541635+39.924872569793365j),(22.177773489085858+88.74182993256031j)
114.125,(23.32502385840003+142.14391588658722j),(12.080230499808545+43.11715302096914j),(21.406607504426063+115.3716906979724j)
115.3125,(33.1139907115261+165.40658459279288j),(18.702969615466834+42.870387375187725j),(44.65595310636627+135.74330125101827j)
116.5,(66.03463633487412+188.46909567672503j),(23.06405143774251+34.67919847995594j),(53.32328632473971+123.95151407829206j)
117.6875,(106.07166907459165+183.44512666286073j),(15.682678939664795+28.299189810839476j),(45.11588467684542+134.13946390657716j)
118.875,(124.46832962049231+171.59631129890658j),(8.24148079236367+30.935655702148765j),(42.989457286428646+153.8625736678157j)
120.0625,(145.26483401914476+180.68676301410653j),(5.043103032606946+36.24620250654407j),(50.48068017407506+178.5372790777218j)
121.25,(210.67908729426787+186.14954494980324j),(3.8488561021613625+41.56186515278411j),(61.147172225486855+199.72592182835947j)
122.4375,(272.9132005322645+92.04140046809368j),(4.826374611124604+47.04435791209943j),(60.965459943300665+225.81212841624847j)
123.625,(218.93766339909104+19.55203758635391j),(9.409692307951033+51.91644335677326j),(71.86110883797465+282.2972216093494j)
124.8125,(175.20551935192336+20.57427577404191j),(14.99881717757699+49.791979782092184j),(102.53161479176259+368.38451383317164j)
126.0,(170.2348672394786+38.00219889486035j),(11.253871127488797+46.10262537181354j),(171.29451577948765+492.7170174202909j)
127.1875,(194.85076803510168+36.13508350249312j),(6.664145058900168+49.43511295271282j),(378.3491009553079+751.2749413819034j)
128.375,(202.9622057364826-6.135484968063521j),(5.013731895611987+54.41841690441686j),(1301.6281273548275+922.8293967595469j)
129.5625,(175.69214071374793-34.13221928419701j),(4.986176702839001+59.734400491865536j),(1365.5260592714064-825.5550213900681j)
130.75,(141.44313488456194-39.910793425884755j),(4.526767056037561+64.76472946080628j),(398.07328117206777-809.5879576355381j)
131.9375,(116.21679848259228-30.07147047230151j),(4.889941598045886+70.02275110576561j),(175.91491349443004-533.4860616442754j)
133.125,(103.581205325236-12.519852657663268j),(5.763738963084917+75.84635552762991j),(90.02978943220874-393.6013955498117j)
134.3125,(102.10135265882107+6.1765373876460234j),(7.695429098449536+82.7240878636441j),(60.22770074809163-310.6422818976212j)
135.5,(109.71106254689943+23.871722413358004j),(9.662943853484334+90.07330300987383j),(46.31327746907267-253.21416817520168j)
136.6875,(126.9119816532921+40.48860729012598j),(13.241094833791795+98.22630433876009j),(47.15510057608979-212.4452453185953j)
137.875,(163.56648067468936+55.14862801365738j),(19.34345701900501+106.58221585830842j),(48.411733378397216-196.00772566849062j)
139.0625,(245.2631966493116+32.471592411299056j),(30.422837280689027+114.95338857245274j),(35.78011728454502-187.52122779995796j)
140.25,(250.50056034593163-125.7582861026558j),(45.062540384093154+117.03780212788726j),(22.89255634522321-168.88687716027j)
141.4375,(110.07139554033456-126.80612548793063j),(56.51104212503051+112.95376486438944j),(14.476768980128169-150.59871369702768j)
142.625,(91.61345626679635-60.17551680089728j),(63.95683626832319+98.67491800122787j),(11.128460030359886-134.40248004970533j)
143.8125,(120.6921567203019-35.99717270797547j),(52.630621722315034+89.28830282242957j),(8.58403217349834-121.68101476228162j)
145.0,(153.1527181845118-60.27399979665411j),(40.86346952913529+96.59397281618503j),(8.00374531821265-111.23181093802081j)
146.1875,(131.7180597820551-123.77821530539153j),(35.7814686933292+114.6277426600135j),(6.474493689859765-102.86413292188857j)
147.375,(34.76600279123975-83.69041798868663j),(35.79783579534597+132.2363797429934j),(6.197122493505163-94.5837396345822j)
148.5625,(87.5353714640629-40.42574869991695j),(40.05118702540433+151.69340055532953j),(5.530659318445035-87.10838368241977j)
149.75,(101.65745233241852-62.08229761997774j),(53.512252647599496+172.5790423864145j),(4.958149163237544-81.09125356012312j)
150.9375,(91.84439144382087-75.24963762606237j),(67.63719754611485+201.0751322646712j),(5.116979710036175-75.41273793109525j)
152.125,(80.54003756314953-77.37700145960699j),(94.99570460814063+226.25510407140072j),(4.59811315016424-69.73172086064274j)
153.3125,(72.34154284256483-77.17328855820433j),(140.3039472360671+255.2211231075618j),(4.6724719283806-65.13488807088478j)
154.5,(63.77821025033881-77.06370877976374j),(209.31271919902017+277.22653402002635j),(4.7078695917667055-60.85619214040343j)
155.6875,(54.60992244867836-74.06798568962903j),(319.8170988310706+260.7906549156112j),(4.516722475066552-57.55525017386719j)
156.875,(48.481642996691825-68.23031016651264j),(407.79832142387176+177.2774491596507j),(4.798696194142588-54.69592152820492j)
158.0625,(45.61026674528531-63.23544506427177j),(425.4423381128438+45.7311625695295j),(3.952462943486983-51.083851826075865j)
159.25,(42.91752306545027-59.94229815153085j),(358.0501272095675-28.672267107558525j),(3.873848593696169-48.49006865603344j)
160.4375,(39.38108343779656-56.96388956069965j),(349.7251333002567-45.999336044546844j),(3.0763220284163424-45.07629928579699j)
161.625,(36.376847729164034-52.620497426929425j),(331.8832191356233-146.13024051447488j),(2.867821668633853-42.22560735088236j)
162.8125,(35.64870990645507-48.10638768784908j),(249.9353176307896-171.15733841989132j),(2.9661620133338293-39.02072702867311j)
164.0,(36.45158404031009-44.939025287226755j),(195.54498850324694-169.49443204494966j),(3.148525142867221-36.71848148324066j)
165.1875,(37.17067056474156-43.3062983997166j),(156.45346010028186-157.7161925685263j),(3.024308366510724-34.51770132933073j)
166.375,(37.12659964530324-42.81206584303178j),(130.76106614867254-144.23930074830525j),(3.448538651432874-32.12187657919559j)
167.5625,(35.90547538363388-43.03946872347248j),(111.4355165313677-130.0529162840699j),(3.501849289392132-29.97823101769448j)
168.75,(33.56737288415183-43.27053270611254j),(96.29716128999381-115.24644687638828j),(3.386693813315627-27.902151115083704j)
169.9375,(30.531431159859725-42.816051308356066j),(85.21298116087645-106.2700171816505j),(2.979481609525588-26.04325613289001j)
171.125,(26.745906190122202-41.29675574802927j),(78.37292975617281-96.56757361580438j),(2.759360991824312-24.113832114257907j)
172.3125,(22.964385644898716-38.15485378642079j),(73.85243545007043-87.06291060749939j),(2.7359148923494216-22.22614017269166j)
173.5,(20.652344343749377-33.918205546457706j),(70.81356965056918-80.030946953644j),(2.518120456517077-20.05231500172853j)
174.6875,(19.996614847340876-30.296878508495023j),(69.43856128748654-75.23732445861063j),(2.7571543977783017-18.107989876663506j)
175.875,(19.607978701024585-27.699377007438244j),(67.68857078245216-71.83955364619646j),(2.7435610046766223-16.5672312976813j)
177.0625,(18.743858524147324-24.974519119319645j),(64.05116012991847-69.24412298775687j),(2.678754137011501-14.622247534557076j)
178.25,(17.906783848528995-21.745456263918808j),(59.67863506090108-66.59640841096838j),(2.6150322638244603-12.79557308264677j)
179.4375,(17.869532110760773-18.62281330292223j),(56.232948145558545-63.16115659141237j),(2.581194931727479-11.111312365132605j)
180.625,(18.295126690613305-16.280543750030635j),(54.12632255674847-59.658950465252886j),(2.699047584137842-9.687350602423995j)
181.8125,(18.544184988952917-14.351190757250896j),(51.360637745777574-56.04574558323275j),(2.738993987716417-7.789402958004226j)
