Frequency(MHz),Z_A (TVPol),Z_A (BVPol),Z_A (HPols)
323.125,(20.62974522579078+40.48334586834016j),(26.24182534037415+40.17359026820412j),(26.964349582970307+2.288241584771279j)
324.3125,(22.150972253850988+42.92559965764334j),(26.897520155429742+41.4670323700331j),(27.20091744526511+3.2834434712819682j)
325.5,(24.278180137698506+45.09477131558361j),(27.791876537723528+42.85023706107491j),(27.447022436336923+4.368502257485232j)
326.6875,(25.80281554497462+46.345044136687314j),(28.489995556194717+44.453466555297645j),(27.794733258386305+5.277853640634071j)
327.875,(26.48037481541483+47.751622395119334j),(29.911335238456644+46.27212947107517j),(28.185084503056427+6.117775668969008j)
329.0625,(27.61079946495434+49.728179661411296j),(30.71805913378497+47.91618786873124j),(28.32583568032531+7.108640076297133j)
330.25,(30.014962848856275+51.74219716456741j),(32.354155492371696+49.29380643397203j),(28.73997536008841+8.117375293740318j)
331.4375,(32.3740977734988+52.83247422391331j),(33.741629810437686+50.807967367235086j),(29.151715178433538+8.973035702430597j)
332.625,(33.43724718385023+53.61530525493289j),(35.404373774599506+52.35094496155577j),(29.463471038125515+9.898993190953629j)
333.8125,(33.769634447803256+54.95725831637186j),(36.853807673963445+53.687207316877746j),(29.89133155905385+10.8441561392062j)
335.0,(34.75994052727014+57.25581632865578j),(38.22256452596693+55.293852837012324j),(30.341450317826684+11.750025536717807j)
336.1875,(37.55367251340617+59.382870675785604j),(40.00270598943482+55.97371467402772j),(30.704876352014853+12.6506828144538j)
337.375,(40.78116458257793+60.44585503749965j),(41.880194191855075+58.622082273389275j),(31.402134974071757+13.571627412987828j)
338.5625,(42.15099921934776+60.956493727289676j),(43.11664410126857+59.041692794253485j),(31.805677149021275+14.511133667026586j)
339.75,(43.275624024227064+62.267302493152975j),(45.10517551077867+60.29724883895973j),(32.50323236910481+15.292053153961925j)
340.9375,(45.06081220130627+64.5948353565289j),(46.746456693157135+61.70675435329284j),(33.114847697407804+16.107598998698094j)
342.125,(48.73061342602228+65.79332202008861j),(48.507140270309414+63.7967538239679j),(33.81912002928144+17.026835434628094j)
343.3125,(52.198455594293634+66.06438691945498j),(51.1554154626716+64.3297451701154j),(34.45178263831093+17.690131930524327j)
344.5,(54.24472858232512+66.94585985281797j),(53.70735007844084+66.74701088644558j),(35.28577380929617+18.458012389316664j)
345.6875,(56.27485623922709+69.16390600268707j),(55.451236762922484+68.46137392652999j),(36.04781864106653+19.376328879627497j)
346.875,(59.08947522547513+71.20007443896844j),(57.99340275126813+70.428709946113j),(37.02632325107955+20.139619021024707j)
348.0625,(63.40338984505362+71.78043037271657j),(61.09526249611478+73.24755077288611j),(37.98202344522644+20.917998547732914j)
349.25,(66.25228538977876+71.40174804454688j),(64.25712136667774+74.11448213070119j),(38.817187415923726+21.563762372580417j)
350.4375,(67.79317316262718+72.94445708589271j),(67.0948227233442+76.83168198219596j),(39.74645634063587+22.26938474181986j)
351.625,(70.12801770381739+75.59049067267321j),(69.72322235126013+78.78134728737352j),(40.71749718715132+22.912227481646035j)
352.8125,(74.0322018499377+77.44149769554394j),(74.31847361138654+81.25183142984814j),(41.763288933987646+23.50520809153076j)
354.0,(77.97256519850434+76.97774348357915j),(79.22024645564454+84.0389828842324j),(42.788225432647074+24.022537532262184j)
355.1875,(81.11247813918247+77.53118597697862j),(84.92749626669867+86.16483192547551j),(43.9780731916458+24.46340013331249j)
356.375,(83.01854026683175+81.94000120936127j),(92.03890322673503+87.30044594082064j),(45.23261520796064+24.787947302816047j)
357.5625,(85.03217445863952+89.46965470619458j),(98.13496895268126+90.53478913198653j),(46.29217156336293+25.36901915702007j)
358.75,(90.37467362287259+95.34776016174412j),(108.67707295815632+90.55380935892633j),(47.86459852070186+25.518043738429483j)
359.9375,(96.93912693715448+96.09776554318599j),(116.43518292472007+90.80463427296341j),(48.932508422672186+25.86780547963526j)
361.125,(102.18618453764036+97.80308679744142j),(122.99802013790845+89.54749158924015j),(49.953592494063344+26.02518033817451j)
362.3125,(108.94415519514777+105.23183595555325j),(135.46816641629673+87.95431242368687j),(51.37746189184442+26.247246757032688j)
363.5,(124.12722230580931+118.47331429023801j),(143.7395060440667+84.34802884995713j),(52.538681793021006+26.36036967254766j)
364.6875,(152.3741203896492+126.75267532041924j),(156.09990977569817+78.53645159837048j),(53.922121886466066+26.254478991071828j)
365.875,(182.1816984875842+113.93107886574658j),(167.16186111560717+75.30093637312237j),(55.30966396299302+26.439531331558815j)
367.0625,(201.63411104094362+92.78455549106182j),(177.47149757611896+64.00963056614856j),(56.707827711732214+26.107737042961467j)
368.25,(218.14257766714738+80.05984199967892j),(182.66914132995512+54.602388896614656j),(57.47320434958035+25.916642304162426j)
369.4375,(256.9054449433372+74.09353849596503j),(193.67570139020387+41.22109697631113j),(59.10638575690043+25.534204719032225j)
370.625,(294.11406267272304+26.863328481713605j),(198.1901152743498+25.570176681100566j),(60.40153618580331+25.02372424651254j)
371.8125,(277.70531872951454-23.202794437069862j),(202.9783564826239+11.914579536217012j),(61.728781403683215+24.80264378060191j)
373.0,(248.70289010999952-58.34355694790676j),(205.39488337824451-4.188859456474146j),(63.36022234634919+24.475046199043767j)
374.1875,(218.93988362545466-96.78996481749039j),(202.8237748912216-23.47606934786477j),(64.7033964478408+23.63306706512758j)
375.375,(170.61130275765564-121.2067090992663j),(198.83895720374622-36.53905431563378j),(65.51894396633035+23.18822828441743j)
376.5625,(132.2025579718742-112.40888593164235j),(194.75471609564264-50.65211948477967j),(66.70632454638593+22.63538974505469j)
377.75,(115.20675383027154-90.73202752699608j),(181.8773155610794-64.13578297041512j),(68.0221366710338+21.066466066300215j)
378.9375,(107.62699590674269-70.34486794459893j),(173.31589160266114-77.10010550289353j),(69.51142138282216+20.183092274323645j)
380.125,(108.83476407919683-54.11971580832548j),(161.35022814898974-82.38627894654077j),(69.93835255845194+18.915994727340436j)
381.3125,(118.09116826013918-48.90302828697522j),(149.30564762891402-89.43341715227818j),(70.97897231258247+17.75763599903607j)
382.5,(127.64551665100235-57.16498984093173j),(139.92386776777695-93.30734415192485j),(71.73459661589848+16.991271741796893j)
383.6875,(127.73535052907071-67.79069029791324j),(126.82241885051445-96.72487509691003j),(72.7203088177086+15.195705196171442j)
384.875,(119.68871537671873-75.58337158640344j),(115.59424966858126-97.33805136459975j),(73.32584442569757+13.739816991208011j)
386.0625,(105.54923948504928-79.63712707454329j),(108.01960554310158-97.08662312196142j),(73.85274411430807+12.815775152411641j)
387.25,(89.96496932418225-76.26977960439525j),(98.92234383515921-96.38870439942292j),(74.25956549538361+11.243930198685419j)
388.4375,(80.73983769858766-67.42429499620182j),(91.0876936536861-94.07119041313611j),(74.88313796979129+9.981629303802691j)
389.625,(79.29205420629742-55.877265350455744j),(84.76099513233663-91.4130815404558j),(74.95347555585789+8.585086900991005j)
390.8125,(83.88217513280583-42.77419602421879j),(80.63215107267638-90.02015661472115j),(75.66019158287338+7.331547563275748j)
392.0,(97.13446370238808-30.822926424997977j),(76.4508006176596-88.00625917935173j),(75.52646985770505+6.005706489429949j)
393.1875,(122.99913028022853-35.7857539722906j),(71.11148242581665-86.4760010016031j),(75.43114455803082+4.1438323232546495j)
394.375,(135.34759669242325-73.1116512081205j),(66.67661625562464-85.32417987437539j),(75.71110348721936+2.7210580608378763j)
395.5625,(114.04546617080835-100.74726178062991j),(62.488288827275454-83.58225695505509j),(75.47799562236487+1.4676329762074647j)
396.75,(93.97476054980571-105.70013500953738j),(59.0242916461647-81.75516620292998j),(75.3715400100913+0.23492841733717565j)
397.9375,(78.33744254461735-101.49587770936641j),(55.35940638904098-80.26799987263051j),(75.06451527960255-1.235016463442054j)
399.125,(67.76533209847487-92.74897144268667j),(52.22588537676585-76.79283388504305j),(73.65383181433991-2.5204258938763284j)
400.3125,(63.17540345346517-85.4161229772321j),(49.23963086764811-75.73545830756578j),(73.81530270189663-3.349853933491088j)
401.5,(61.93449650972387-82.99141651812634j),(45.788425474760686-73.687268307399j),(72.8494598111434-4.9769152064499j)
402.6875,(59.94973609807768-84.19042387317079j),(42.94883192042631-71.46203688383596j),(71.90776688045379-5.94336480713575j)
403.875,(55.55284398406407-84.48287157864792j),(40.242687142633336-70.04894040450836j),(71.83946432532223-7.119724598240051j)
405.0625,(50.30924435059769-82.16979172612145j),(38.13860203221809-67.92599225748366j),(71.0787495381554-7.752178473390062j)
406.25,(46.77939563132317-79.67211551145259j),(36.1008004349038-65.87705633649514j),(70.52375392851194-8.038518421918008j)
407.4375,(44.05552705163771-79.386227575741j),(33.685934059729185-64.03583538164432j),(69.67394852156512-9.173542959211709j)
408.625,(40.25997449343775-79.86497704256203j),(32.127404891580326-61.914620192153244j),(68.77345047879848-9.844147120027271j)
409.8125,(35.272530099731384-77.49957851756812j),(30.545616983300576-59.517840548786346j),(68.13225843123021-9.906681484037128j)
411.0,(31.339536142280046-73.02077183891248j),(28.66148272896918-57.43099930962814j),(66.84291703812374-10.642237233718317j)
412.1875,(29.034744527384003-69.27679220725163j),(27.353812949114403-55.48785941774529j),(66.26639372996594-11.436827654534472j)
413.375,(26.447544789114186-67.85086836947525j),(25.25559318669188-54.074750995379986j),(65.53086429580522-12.6781677305147j)
414.5625,(22.43775434684254-66.88057391066422j),(24.002721981711364-52.09715463179883j),(64.97485719483672-12.706757401074295j)
415.75,(19.1533703466408-63.58696968442329j),(22.79122878505323-50.25851313541425j),(63.99418710084699-13.129207087567677j)
416.9375,(18.124906278081-59.237508110697675j),(21.99445474031587-48.434605324970725j),(63.66611287742159-12.973900317827713j)
418.125,(18.56875924806058-55.92073217776647j),(21.030773472932143-46.220099487010664j),(62.585700567924704-12.993021762035381j)
419.3125,(17.565572966632796-54.04757811860324j),(19.87321682478828-44.02670743616296j),(61.51313575691846-13.131934229118649j)
420.5,(15.572100627899209-52.40537448663072j),(19.01952924565519-42.50157039592909j),(60.88707443570695-13.54754033894825j)
421.6875,(13.90658854267735-49.46172411038864j),(18.244964823535852-40.40833771894917j),(59.85242185219726-13.996843390695807j)
422.875,(13.782479920547791-46.162057637133536j),(18.051020457344684-38.61446039226614j),(59.33340523445983-14.135627384911908j)
424.0625,(14.362104129370804-43.83846559693367j),(17.64908747487807-36.60759705102543j),(58.173025821186116-14.036453632219713j)
425.25,(13.748221132175063-42.301190823305475j),(17.663425220348756-35.329125096849516j),(57.4813696520455-14.207973671996113j)
426.4375,(12.262010711619418-40.325901981714615j),(17.413443684744845-34.112626200956015j),(56.48402385889969-14.254532472167167j)
427.625,(11.5558882034987-37.68752089207382j),(17.02208556000169-33.163144807338895j),(55.57503894754299-13.991306279963249j)
428.8125,(12.174613388520596-35.54089747706366j),(16.361641273131333-32.029144561991146j),(55.19791375339097-13.830906066071025j)
430.0,(12.877226860768653-34.125292340388846j),(15.816948856081746-30.722636038513738j),(54.642477654683226-13.484806384694721j)
431.1875,(12.86596748257447-33.02800666996797j),(15.388457999133982-29.465419740206144j),(53.97633195925619-13.521840543931251j)
432.375,(12.326714050241286-31.559558844831326j),(15.162640440807609-27.962148642667948j),(53.40897090634707-13.408978227057787j)
433.5625,(12.368400526858778-29.661096620129705j),(14.47390222275326-26.604124175467444j),(52.09123849849088-13.295946453663651j)
434.75,(12.994604390692459-28.16517705967998j),(14.180832725764567-25.242417885957853j),(51.319739870104556-12.830811531134959j)
435.9375,(13.494967058851936-27.50370113708795j),(14.233138313143328-24.2225100518105j),(51.179579360249136-12.412387913862704j)
437.125,(12.884246179247404-26.81020856801411j),(13.763497931244162-23.23846827459019j),(50.66493255666222-12.533259209879413j)
438.3125,(12.105018364336818-25.738647470155687j),(13.448699273862646-21.88397292939606j),(50.045118066956086-12.003252015865217j)
439.5,(11.656082790847394-24.46771356422782j),(13.287260619648647-20.83032905086254j),(49.687566501153526-11.705314220958334j)
440.6875,(11.999564952542595-23.719336459149037j),(13.18748652140817-19.720943985501908j),(49.37704076404962-11.268780708328208j)
441.875,(12.190497800526272-23.59130244220964j),(12.925498972415635-18.705576710400145j),(48.8083047636424-11.115442933180493j)
443.0625,(11.73312670673856-23.208305405941278j),(12.801969950925828-17.288253658893897j),(48.225385364192086-10.513907959316695j)
444.25,(10.844649177774563-22.154011246569556j),(12.45366152149688-16.049630322153938j),(47.466470724835254-10.107541756233491j)
445.4375,(10.413970014213078-20.50373161474663j),(12.273541556025341-15.30305566918436j),(47.02130599246852-10.1257607473074j)
446.625,(10.481685422048514-19.338364560757604j),(12.579784999447996-14.283774047299978j),(46.86978547564644-9.829474454686322j)
447.8125,(10.197572556442084-18.746711216788018j),(12.539154379488087-13.463722156335638j),(46.66115742937789-9.58482040896449j)
449.0,(9.369587537980456-17.84892663284681j),(12.39714912196495-12.516917422181978j),(46.21980867953041-9.164472013944886j)
450.1875,(8.541564142661272-16.524451527569454j),(12.19958503567183-11.499854939077125j),(45.852082111269276-8.504503969497083j)
451.375,(8.431859257375434-15.04471876118763j),(12.021389448261225-10.814797419472905j),(45.6160756768239-8.181919322565285j)
452.5625,(8.8326518419035-13.972478416779857j),(11.83617952839621-9.740104480307936j),(45.364869881945175-7.524483620209004j)
453.75,(8.931970556241955-13.21391224864955j),(11.449909246535034-8.615778413997107j),(44.956420123722005-7.014975543276519j)
454.9375,(8.490053006968306-12.11804913066578j),(11.214484267375356-7.640438813918147j),(44.558584171003794-6.744204326584613j)
456.125,(8.070851805501972-10.54151069955465j),(11.406158855507636-6.764121965707536j),(44.653959490924485-6.294154012984434j)
457.3125,(8.101129089701892-9.258694058679447j),(11.118517638239778-5.580810514316022j),(43.93134205759278-5.6765935512501455j)
458.5,(8.082068330618052-8.64619786371004j),(11.123502305798175-4.7874250672665735j),(43.86127653301293-5.498263332749193j)
459.6875,(7.773708529859047-8.617047058358757j),(11.223657836883811-3.924154319682779j),(44.06909846610403-5.021665753139109j)
460.875,(7.029986451755349-7.840098732755627j),(11.063531847239776-2.738047513413611j),(43.78331886071627-4.23586403001412j)
462.0625,(6.426408772991033-6.453769052903013j),(11.005558053426883-2.0684070666853156j),(43.77860811532988-4.034876128897816j)
463.25,(6.433293921120095-4.987386498887641j),(10.754226866947349-1.067816538969186j),(43.78374340023089-3.7722781350153776j)
464.4375,(6.689465738314413-4.109674605844042j),(11.117487187797037+0.020432157075588004j),(43.96291753176506-2.907258861585484j)
465.625,(6.491058030069295-3.3361468987276903j),(10.471239924045513+0.8154648941945178j),(43.67600666053037-2.8694286180225923j)
466.8125,(6.103880538964607-1.9833903336033611j),(10.69714635375985+1.8718351140561542j),(43.685736344078535-2.2892979995128377j)
468.0,(6.0291460194963715+0.00818097489558112j),(10.735874380905697+3.0926458074442493j),(43.620158356892226-1.6288191160446674j)
469.1875,(6.500984129328657+1.4726145074237955j),(10.578212874298414+3.8267980965936044j),(43.57521198117665-1.7409184898221146j)
470.375,(7.105522829638721+1.8090335863475897j),(10.640775068698153+4.8751303719785986j),(43.76138302382502-1.5126048013049174j)
471.5625,(7.112221717471021+1.8860426631187606j),(10.783003035686018+5.842873676077468j),(43.91032520967188-1.1273155672692263j)
472.75,(6.639563503919057+2.8141548606594866j),(10.896493698610357+6.861167208793558j),(44.206740438463456-0.8596401927465852j)
473.9375,(6.554019754229344+4.339176834006661j),(10.687105339418316+7.9385233203650545j),(44.12580579725947-0.5702741811286749j)
475.125,(6.542700458182709+5.602176594173507j),(10.736929481276569+9.192995067073092j),(44.15268083000423-0.10233508254543629j)
476.3125,(6.231520349643672+6.22072412875985j),(10.84440268522568+10.278787213711471j),(44.05258981456772+0.18420324892940984j)
477.5,(5.645585499445479+6.867557926609894j),(11.041684797206008+11.361356153891894j),(44.17340511852388+0.5215601423360393j)
478.6875,(5.425752636690447+8.178581611317247j),(11.22382997792007+12.001774210268776j),(44.226904120668415+0.39412090153480966j)
479.875,(5.751600582406059+9.720291284218534j),(11.452912072435549+13.249741213764734j),(44.287671569361414+0.8845710957603677j)
481.0625,(6.205975603372249+10.818508894809316j),(11.463935858285058+14.111084801858958j),(44.05257244342946+1.0156014839374183j)
482.25,(5.878556713636647+11.437468864238513j),(11.603876270227191+15.009271307610348j),(44.17112125145256+1.2810116288969837j)
483.4375,(5.07146928098105+12.230767834009855j),(11.852454634738649+16.232786595964843j),(44.63740279314733+1.633512696745223j)
484.625,(4.67105498987535+13.628957341661947j),(12.207035491459688+17.643207074189757j),(44.70717111514845+2.5058455844550185j)
485.8125,(5.211011607720494+15.408188396289605j),(12.236440815802819+18.931432023078525j),(44.7409101041409+2.63459167392037j)
487.0,(5.6603040426172235+16.97298785073708j),(12.284456719766379+20.21154934096297j),(44.65005047361703+2.925915908167571j)
488.1875,(6.679976109382971+17.93980003417336j),(12.654134021084658+21.224954075881648j),(44.72832973088109+3.122085015875573j)
489.375,(5.783994726003365+18.125089438914358j),(13.130705501196948+22.44460950107259j),(44.55201436913739+3.551617605973052j)
490.5625,(5.551401907030312+19.475711261347357j),(13.715337561730497+23.475694062920166j),(44.547061709995965+4.019444381932172j)
491.75,(6.262300002869089+20.951441506444727j),(14.051056005270498+24.32919100932464j),(44.73802900402396+4.122134191683198j)
492.9375,(6.776046226252461+22.288797997046366j),(14.578026501752596+25.490822600609423j),(44.69847953788535+4.461445930357257j)
494.125,(6.1900990215706955+23.511621995623013j),(14.960369660728256+26.00894348775955j),(45.503001374478984+4.6648591261376975j)
495.3125,(4.9111976071753+25.181488168427705j),(15.309330803042975+27.344285760578643j),(45.359331434646265+5.166551524270887j)
496.5,(4.659694208288483+27.194483900959483j),(15.37607394729431+28.49054046032399j),(45.72225327166002+5.836380461812559j)
497.6875,(5.83081224726051+28.53194135411426j),(15.63766411796282+29.834040935555503j),(45.763652096732756+6.118408275879739j)
498.875,(6.81424901423771+29.171261511107424j),(15.795970610371507+31.05340318758547j),(45.777606759443564+6.328100359480851j)
500.0625,(6.720731111601262+30.08440391243269j),(16.529927157568938+32.2681544957198j),(46.13343717240912+6.514202762889494j)
501.25,(5.993484013551281+31.856988699651357j),(16.960006619478065+33.356088156641256j),(46.493266955865195+6.853308318858049j)
502.4375,(6.089954929782767+34.04573183103624j),(17.573910861711777+34.73874850929458j),(46.304416549662626+6.90071665966305j)
503.625,(7.241710139057943+35.601159830074415j),(18.213982115027257+36.039419438752866j),(46.869105830888905+7.293593746625846j)
504.8125,(8.234497389095862+36.63401630828106j),(18.672140544667958+37.43234511434046j),(47.2318844732742+7.635000123990331j)
506.0,(7.853904878130887+38.072479147662854j),(19.299251380233827+38.66016088266749j),(47.61324744336055+7.898712627423246j)
507.1875,(7.061834909612834+40.46549824461631j),(20.034836617427445+39.98268606736352j),(47.900842889625295+8.121047616678421j)
508.375,(7.350952339382092+42.984064673768145j),(20.5188596496355+41.288970063330204j),(47.90117381897123+8.365411608667062j)
509.5625,(9.035283155636442+44.360339430268475j),(21.093654988775505+42.66359076918258j),(47.885570230437345+8.553206988878278j)
510.75,(10.129562618437616+45.207914581460656j),(21.544617807145396+43.98543804253251j),(47.89137306406823+8.635092172647722j)
511.9375,(10.394536267593297+46.854963870988726j),(22.476744250109263+45.152260357179195j),(48.225477034287316+9.178273054177929j)
513.125,(10.265576513667726+49.7874684604299j),(23.399768293109712+47.2006669988735j),(48.318978855976155+8.92745365697396j)
514.3125,(11.288598052362914+52.42167003399857j),(23.945363752490216+48.73808828559325j),(48.86353617839818+9.548094850951701j)
515.5,(12.740595405589833+53.784449125381656j),(25.162046052784977+50.412571642760575j),(49.19449388902466+9.829440772461329j)
516.6875,(13.434160716351707+54.54816945488774j),(25.99456191409443+52.23794798781596j),(49.71269608685452+10.321430482721812j)
517.875,(13.349993032184955+56.501481342865624j),(27.11430798354349+54.803174796507435j),(50.46941333711043+10.293689437350057j)
519.0625,(13.429602914799235+60.09759481304926j),(27.856045814744668+56.371021050441854j),(50.78647514819224+11.043329884985157j)
520.25,(14.837568516504058+62.847554794804j),(29.42192045643628+58.46612576491211j),(51.23201582789486+11.141988502631282j)
521.4375,(16.563552903114076+63.667719621417724j),(30.917690279015346+59.91548848227414j),(51.177609385621054+11.556371081539481j)
522.625,(17.33742892807669+64.14612329773101j),(32.51160212401028+62.88247210991394j),(51.92839804475763+11.261646549918146j)
523.8125,(17.33470141050573+66.26256243315989j),(33.85658053717136+64.95565659333815j),(52.699133900151395+11.75643906590692j)
525.0,(17.607235969848833+70.15800030953775j),(36.18711085464787+67.58335700576657j),(53.095891292531505+11.76545241896822j)
526.1875,(19.277452436518224+73.71513888465535j),(38.819341630182116+69.66555915686769j),(53.69132968682911+11.9710753802206j)
527.375,(20.595002499515942+75.28760984672775j),(40.95511088038079+70.72719415704603j),(53.85406871875638+12.460146564911293j)
528.5625,(20.67720222130326+76.85763634179276j),(43.719777306612656+74.0281467148473j),(54.82692544307499+12.402378332976353j)
529.75,(20.421015079977316+80.81213709415822j),(46.898231442947555+76.49477016889229j),(55.64376241191438+12.490536082713662j)
530.9375,(21.567890000589905+86.51633326059806j),(48.98467215615325+77.73644051931632j),(55.947888057895405+12.92959408090414j)
532.125,(24.021682659863867+91.0699251581698j),(53.60080296841511+79.85659550038244j),(56.432833835981164+12.661089169920553j)
533.3125,(25.810543774464797+93.21572859440711j),(56.216679381990424+82.18225916832459j),(57.66282818241235+12.93817542842428j)
534.5,(26.20510243140795+96.30271678078293j),(60.68286006376543+83.43388245631924j),(58.31628878894116+12.784187459727898j)
535.6875,(27.156242799643735+102.9867218583606j),(65.13911411864223+85.57352090762319j),(59.21828843181677+12.58806279704384j)
536.875,(30.845532535015902+111.52468269041569j),(69.80015100348209+87.66597719861949j),(60.03907126852851+12.44375111403926j)
538.0625,(35.444675093574375+117.88476420436642j),(73.33192572623862+87.87258751404632j),(60.71213862405789+12.358434728989302j)
539.25,(37.221006563720614+121.57346366093078j),(77.55533507025588+89.07429782104164j),(61.5161562633712+11.993430859666573j)
540.4375,(35.69329299194753+127.56499205750461j),(83.4336262177244+89.13363839745467j),(61.67163991230112+11.283303233260662j)
541.625,(37.34239379286788+139.56409617518383j),(88.58083895013242+91.97668870583473j),(62.90473131725254+11.100047034754422j)
542.8125,(46.75317454130369+154.0769143604183j),(96.13601739796457+92.43781853410846j),(63.508910410935584+10.375416871271423j)
544.0,(58.598109666896846+162.2121593234119j),(102.96668503858561+93.77104976440664j),(64.30193183027014+10.050422146888467j)
545.1875,(63.9988743925787+166.7339020477296j),(110.15274585377021+93.62643949177539j),(65.02209075632908+9.331110222570533j)
546.375,(66.28858595236197+178.37260097591584j),(119.24910935748572+93.75489002486944j),(65.86713570924275+8.89007078699747j)
547.5625,(76.25585449028198+202.4792398053309j),(126.54868432173662+92.87438385564441j),(66.42549968668573+8.368421450325798j)
548.75,(101.50378690377931+226.72839210744388j),(136.74790222555208+91.74993533559038j),(67.43631457162927+7.873065453999446j)
549.9375,(133.02253669338305+233.77334637405275j),(142.8183748380048+87.15875309906384j),(67.71419951413897+7.400669656908761j)
551.125,(149.8621624710544+240.57852254031138j),(155.3655945406383+78.06866472153875j),(68.22469810911504+5.862309948760749j)
552.3125,(171.74863047238418+268.2085839115853j),(164.21314119300422+71.90804580665073j),(68.8912032396998+5.053869104393458j)
553.5,(234.24520785136397+297.2085330687074j),(174.4685438509663+68.80667658077294j),(69.9836889159406+4.503220492385925j)
554.6875,(345.3304032732839+282.6255793283191j),(177.44177468436266+53.63543986110185j),(69.48279080362208+3.378558980804806j)
555.875,(416.9307524419708+230.2579961553928j),(185.54250018642247+38.94313034813612j),(69.7353890657175+1.803322123035622j)
557.0625,(488.7528792621379+211.10381672188078j),(195.5349491544184+30.238426691979086j),(70.67139146750085+1.123853320565213j)
558.25,(638.6621073714593+119.95668532146524j),(187.43827177041558+19.596514684145752j),(69.7674279875378+0.7155599236749723j)
559.4375,(639.1262792007371-171.88543335804962j),(192.10154921685512+5.730979258291957j),(70.2006962187998-0.748593229697636j)
560.625,(447.89314661922447-279.81724058996093j),(193.04314631526688-3.5293987075581463j),(70.36868299075311-1.391345641076728j)
561.8125,(367.01428132396575-268.49182181979097j),(189.74272604914196-17.282337694882397j),(70.0676883807374-2.5700099291419547j)
563.0,(329.22584281316153-285.5086317512388j),(187.68002956435149-33.82614393918588j),(70.17059039526892-4.218448535605862j)
564.1875,(259.2995421469807-299.9719060987852j),(181.5127516953131-44.62751995331376j),(70.08472898422858-5.054119675416745j)
565.375,(177.9364313817536-268.3692615692677j),(174.20632823121844-54.38372328928231j),(69.46636519040466-5.956804889178399j)
566.5625,(139.06402428653857-231.0642169666353j),(164.82601046725065-63.03653791946518j),(69.11269976209951-7.0112329628370125j)
567.75,(117.78158619641624-219.93292442592542j),(159.8542485354709-70.35855342098468j),(69.04707741615326-7.471839361183776j)
568.9375,(97.52143398692674-214.9744896694188j),(150.00215394172992-77.34954250354278j),(68.74482440372292-8.538903907337646j)
570.125,(74.30079744374125-204.51660016471237j),(137.63365233097468-82.70929939263803j),(67.95089315649086-9.767404249067665j)
571.3125,(60.97715100716567-179.80733810555768j),(129.88920048376642-87.98980016536959j),(68.18053222425725-11.046036311477177j)
572.5,(54.85758188663256-159.78699641336328j),(122.0771632270424-86.23670512065114j),(67.34341620853289-11.19518119239149j)
573.6875,(49.25548749048739-148.69425169252918j),(108.62626902634095-86.69716256361119j),(65.88667951920199-12.798518008592856j)
574.875,(38.97937242455102-140.64887691243754j),(104.50896138515982-83.9637211808787j),(65.18540804321832-12.353251822008126j)
576.0625,(29.246857177568195-129.58115939950736j),(97.61207910616902-83.89621260340982j),(64.31602935713808-13.205566253242015j)
577.25,(25.936303375240122-117.52973712168722j),(92.84189599602645-85.39556653349135j),(64.14537442853704-14.15898342302486j)
578.4375,(25.394812323002323-108.9998806112938j),(86.92505954212184-82.81296707000874j),(63.06893621374159-14.558927880851588j)
579.625,(23.027219084921278-104.59331013750648j),(82.78817038346016-82.64193449504944j),(62.47586632333655-15.0308022805801j)
580.8125,(18.5296170008457-99.31244987830719j),(76.63244394176262-80.73922644915314j),(61.191216422616684-15.671981063468207j)
582.0,(15.073408947247696-91.16187118388824j),(71.50346934300256-80.16287388806246j),(60.38496316544234-16.50332968127997j)
583.1875,(15.365920354080384-83.37971051673118j),(67.62732569013924-77.26574354037453j),(59.114249987825566-16.346577020517444j)
584.375,(15.94218971661019-78.0890667945969j),(64.09875233102805-75.71833107299614j),(58.501955473036354-16.615738483481966j)
585.5625,(14.572230156697831-74.59166861082448j),(60.26028652197398-75.06078446165677j),(58.078538924928004-17.0593222379684j)
586.75,(11.582600787266202-70.07629084533795j),(57.23062711531634-72.09779594769135j),(56.86210200185533-17.03806657207666j)
587.9375,(10.21073583288989-64.36906234614762j),(53.18388732659459-70.12694167508265j),(55.61337901600118-17.546405600581455j)
589.125,(11.010465715919796-59.34739637108379j),(51.807926760750235-68.1981949921196j),(55.27242205016033-17.096032211158953j)
590.3125,(12.369429054956054-56.18904435547486j),(48.811989315295655-64.99618692488532j),(53.66035840912883-17.121140966506392j)
591.5,(12.886357005008945-53.4843286190473j),(46.11192665782303-64.01812189396533j),(53.035947363182075-17.712638286094112j)
592.6875,(12.581554171809398-49.794331875615285j),(44.577845289002745-61.53534855888684j),(51.9214815441132-17.277808989401425j)
593.875,(12.580342712353108-45.68031854173672j),(42.946644869784464-60.088167257240315j),(51.384303546923555-17.24280562520465j)
595.0625,(12.991186920011478-42.69384594654322j),(41.78960898032999-58.64505631230549j),(50.93159833654154-16.91238425540164j)
596.25,(12.71432308242801-41.10958048662606j),(39.81129871751954-57.02400315940781j),(49.959441263945415-17.036898686111215j)
597.4375,(11.748032292870816-39.90983779513733j),(38.579165987764576-54.88318619324202j),(48.849370631603804-16.365827077188648j)
598.625,(10.776750657398932-37.6835195721204j),(37.472430183322885-53.56598404194293j),(48.49548881019025-15.858997183639477j)
