Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
68,-18.99593,-1.87898,0.41098,-1.37593,-1.66973,-2.02347,-4.4766,-2.79158,-2.42171,-2.34893,-5.98465,-12.07167,-12.3208,-7.85545,-5.82157,-5.37418,-2.38419,-3.88681,-5.72999,-7.06818,121.7725930976957,-151.91133882308145,54.85977960769383,-128.19703673205103,51.60655427461438,-10.059004496667228,83.36521798666931,-74.3275542746143,-166.47152413026106,-53.56672368615519,-56.24772938564077,10.6307812546182,-72.20781304589607,161.22411184307757,142.66765756846314,63.00942818282236,-109.26448081051223,127.1885926535898,64.21457061435919,-23.136014692820403
69,-18.39313,-1.83888,0.50658,-1.20633,-1.54933,-2.10957,-4.4658,-3.35788,-2.73281,-2.65693,-6.68425,-11.70607,-11.9076,-7.80495,-5.63807,-4.34968,-2.76189,-4.01351,-5.49099,-7.30608,121.8315930976957,-152.28633882308145,54.54257960769383,-129.13603673205102,50.08855427461438,-10.025411843077432,82.2698106402591,-73.59996162102452,-166.06252413026107,-53.90371633974499,-56.90302203923056,9.798188601028414,-72.09940569948587,162.16070449666734,141.23625756846315,62.35022083641216,-107.96429550333264,126.8895926535898,65.68885592153876,-23.88192938564082
70,-18.24233,-1.79788,0.64108,-1.05123,-1.45513,-2.12747,-4.3859,-3.99878,-3.20581,-3.16543,-7.39675,-13.95287,-10.8946,-6.92585,-5.41007,-4.18208,-2.96469,-3.89671,-5.56099,-8.62078,121.24478575128548,-152.62633882308145,53.92507960769383,-129.82303673205104,49.321554274614385,-11.047811843077433,83.09989594743868,-75.00596162102453,-166.05552413026106,-53.696016339744986,-57.03862203923055,10.621817986669242,-72.86540569948589,162.14629715025714,142.34294287564273,60.89162083641216,-107.17329550333264,126.8135926535898,65.31215592153876,-25.121114692820402
71,-17.93513,-1.67768,0.67618,-0.89613,-1.30063,-2.33607,-4.3239,-4.87988,-4.01821,-3.31703,-8.13955,-13.23187,-9.3227,-6.25355,-4.89897,-4.48138,-2.97619,-3.67721,-5.52359,-7.76118,122.77078575128549,-153.04933882308146,53.29907960769383,-130.89803673205103,50.794146928204185,-10.272819189487635,83.02118860102847,-75.11396162102453,-167.56011678385084,-54.137508993334784,-58.48450734641015,11.28704002589987,-73.44559100666547,161.46029715025713,143.89114287564274,61.59351349000195,-106.48529550333262,125.97518530717959,65.43364857512856,-24.07614407846123
72,-17.89513,-1.66428,0.82938,-0.87343,-1.23893,-2.28147,-4.259,-5.75028,-4.41221,-3.94453,-8.66005,-12.79377,-9.4118,-5.36865,-4.54587,-3.80928,-2.78959,-3.99231,-5.87869,-9.67208,123.55898575128548,-153.87033882308145,52.96317960769383,-130.88503673205102,51.84673958179398,-10.024526535897841,84.18087390820807,-74.4959616210245,-166.27711678385083,-53.33290899333478,-59.68699265358973,10.985262065130513,-72.07640569948586,162.95588980384693,145.10103552923252,62.55280614359175,-107.78670284974285,126.75318530717959,64.07044857512857,-25.137936732051024
73,-18.23533,-1.59058,0.96008,-0.82143,-1.23203,-2.40397,-4.2869,-6.89198,-4.97501,-4.63123,-8.83395,-12.20637,-8.6446,-5.35795,-4.78017,-3.83368,-3.50389,-4.53441,-6.48159,-9.15928,124.00228575128548,-155.04233882308145,52.95537960769383,-132.42303673205103,50.94773958179398,-9.01173388230805,84.91496656179785,-74.92696162102452,-165.23011678385086,-53.17510164692458,-59.324385307179526,11.459891450771323,-72.11681304589608,162.66648245743673,144.53202818282233,63.35389145077134,-106.25211019615305,128.26396326794895,64.78144857512856,-25.954936732051024
74,-17.90573,-1.43448,0.98528,-0.69113,-1.12883,-2.43897,-4.1256,-7.95148,-5.81201,-4.87903,-9.18115,-10.46727,-7.936,-4.69655,-5.14027,-4.05018,-3.73979,-5.20061,-6.31609,-8.72588,124.29858575128549,-154.58733882308144,52.46357960769383,-133.53203673205104,52.42633223538377,-9.332141228718257,86.43215186897744,-74.03036896743473,-164.89111678385086,-52.22699430051438,-58.88377796076932,10.640113490001937,-72.74040569948588,162.94207511102653,145.87921349000192,63.26658410436113,-107.78551754256324,128.45996326794898,65.26205592153877,-25.576529385640814
75,-17.50253,-1.46098,1.14658,-0.60633,-1.00483,-2.51317,-4.1454,-9.18878,-6.24311,-5.15883,-9.76275,-10.25827,-6.9162,-4.72715,-4.39257,-3.82908,-4.26849,-5.11361,-6.65409,-9.36498,123.39007840487527,-155.09733882308143,52.303979607693826,-134.11203673205102,51.53233223538378,-8.034448575128463,85.46674452256723,-75.52236896743472,-166.0643020910304,-51.933886954104175,-57.464563267948904,10.863335529232572,-72.27581304589607,162.11766776461633,145.57610614359172,62.507976757950914,-109.00051754256324,128.11496326794895,65.65794122871836,-24.213122039230612
76,-17.85023,-1.32548,1.15938,-0.45423,-0.90513,-2.45987,-4.0319,-10.42928,-6.85701,-5.67373,-9.04315,-8.81627,-6.0255,-3.80145,-4.03937,-4.30538,-4.37909,-6.05951,-6.45769,-9.84758,122.81068575128548,-155.27033882308143,51.93387960769383,-135.20803673205103,50.859332235383775,-7.082455921538671,86.00133717615701,-74.78636896743473,-165.8078947446202,-50.857679607693974,-57.86304857512849,9.561742875642764,-73.00662773871647,161.37926041820612,146.03079879718152,61.61426941154069,-109.40792488897345,127.64696326794896,64.16754122871835,-23.97352203923061
77,-17.99743,-1.39458,1.26618,-0.34533,-0.86953,-2.48147,-3.9344,-11.59948,-7.74411,-5.76903,-9.35325,-7.79607,-5.7872,-3.49095,-4.24867,-4.30878,-5.36389,-6.41081,-7.73939,-10.64758,122.1135930976957,-155.89633882308146,51.10487960769383,-136.09603673205103,52.27892488897358,-6.054983267948877,84.90592982974678,-74.95836896743472,-166.33648739820998,-51.874972261283766,-57.63934122871828,10.520142875642776,-71.96703508512668,162.5810530717959,147.35258410436109,62.93495471872029,-110.59551754256324,128.34096326794895,65.15684122871835,-25.317529385640814
78,-17.52523,-1.31138,1.31828,-0.26383,-0.81953,-2.40707,-3.8985,-13.71598,-8.09771,-6.17443,-8.51435,-6.77467,-5.1423,-3.57145,-4.60157,-4.39918,-6.49809,-6.08641,-7.28719,-10.67888,121.9670784048753,-156.89633882308146,51.00737960769383,-136.69403673205102,51.44692488897357,-5.712390614359084,85.44952248333657,-74.25377631384491,-166.72808005179976,-51.53505756846336,-56.87622653589787,9.36245022205297,-71.2864424315369,162.29404572538573,147.8292267579509,62.054654718720286,-110.23692488897346,127.25096326794898,64.00245592153877,-25.278207346410195
