Zenith,Gain(50MHz),Gain(100MHz),Gain(150MHz),Gain(200MHz),Gain(250MHz),Gain(300MHz),Gain(350MHz),Gain(400MHz),Gain(450MHz),Gain(500MHz),Gain(550MHz),Gain(600MHz),Gain(650MHz),Gain(700MHz),Gain(750MHz),Gain(800MHz),Gain(850MHz),Gain(900MHz),Gain(950MHz),Gain(1000MHz),Phase(50MHz),Phase(100MHz),Phase(150MHz),Phase(200MHz),Phase(250MHz),Phase(300MHz),Phase(350MHz),Phase(400MHz),Phase(450MHz),Phase(500MHz),Phase(550MHz),Phase(600MHz),Phase(650MHz),Phase(700MHz),Phase(750MHz),Phase(800MHz),Phase(850MHz),Phase(900MHz),Phase(950MHz),Phase(1000MHz)
44,-15.65531,-17.85697,-16.37944,-19.82179,-17.12278,-24.72035,-22.87446,-20.92662,-19.06311,-29.39611,-29.94452,-21.68966,-21.92225,-21.99567,-24.51859,-29.05538,-22.20072,-22.66473,-18.70285,-20.83357,-98.06536326794897,-104.79301184307752,53.19992488897351,66.47612653589793,-38.086453071795844,83.99552248333666,5.730066117691859,-57.97420449666731,-130.1694310325652,2.612479607693757,-21.995035085126588,-7.467866117691827,-46.973055921538744,-81.24107061435916,-17.884346928204124,-98.93381469282039,-137.94207511102644,-109.21424857512852,-83.42344857512853,-80.97036896743478
45,-15.67013,-18.00946,-16.32702,-19.54295,-17.31479,-24.6834,-23.82771,-21.07428,-19.25712,-27.78952,-27.93345,-21.41303,-22.23341,-21.37779,-24.35292,-29.52174,-21.48482,-22.78961,-18.56836,-20.12417,-96.76877061435917,-104.04641184307752,52.18233223538371,66.20222653589792,-37.343345725385646,84.52374452256728,5.5238440784612415,-59.40179776461628,-129.07820164692438,3.9968722612835563,-22.008664470767414,-6.796736732051002,-47.83196326794895,-81.43977796076938,-16.724339581793913,-97.8674971502571,-138.1253310325652,-110.05166041820604,-84.10797061435915,-80.07892488897352
46,-15.78093,-18.14241,-16.27781,-19.22007,-17.34092,-24.63994,-25.44294,-21.46081,-19.23654,-25.90758,-26.24102,-21.88091,-22.83164,-21.41134,-24.00672,-30.27221,-21.90605,-23.0067,-18.95049,-20.56191,-98.13966326794898,-105.16311184307752,52.96673958179392,66.88764122871834,-35.911345725385644,83.25678860102853,5.71198815692248,-60.68729715025711,-127.85990899333459,3.048901646924378,-23.350998353075568,-6.954629385640796,-47.4756146928204,-81.15834122871834,-17.789591006665376,-99.42394572538564,-137.14927511102644,-111.42926776461624,-82.55485142487143,-81.55812938564084
47,-15.96408,-18.23881,-16.31874,-18.94302,-17.67143,-24.35846,-26.97399,-21.63357,-19.70914,-24.50338,-25.35137,-22.22987,-23.21963,-21.88728,-22.99741,-29.34756,-21.65588,-23.69836,-20.11639,-20.60455,-99.09766326794897,-106.69640449666731,51.73914692820412,65.83654122871835,-36.924838378975444,81.90030329384894,5.110402849742897,-60.15048980384691,-128.61619430051417,4.3655163397447865,-23.56618366025515,-6.718407346410174,-47.14282938564081,-81.84322653589793,-18.30546162102455,-99.40506206513045,-135.81889715025704,-109.94495491487335,-82.60653673205101,-80.0482955033327
48,-16.04264,-18.46029,-16.36701,-18.62166,-17.81812,-24.08998,-29.81873,-21.93183,-20.24073,-23.8624,-23.49926,-22.86481,-23.49827,-21.63188,-22.47226,-30.64188,-21.84745,-23.7342,-20.82964,-20.56699,-99.79836326794897,-107.33380449666731,51.03255427461433,64.85164122871834,-37.708645725385644,81.51461064025915,4.13691019615311,-61.64496776461628,-129.68200899333456,4.314308993334592,-24.38818366025515,-5.528197346410176,-48.71216326794894,-80.80401184307752,-19.75987631384497,-100.33326776461624,-136.0117412287183,-109.06090449666729,-82.27636326794894,-78.51707346410208
49,-16.08087,-18.3374,-16.16264,-18.68674,-17.71958,-23.58982,-30.40412,-23.37091,-20.52236,-23.43615,-22.49501,-24.1724,-24.99036,-21.92683,-21.40348,-32.82773,-22.56133,-24.39707,-21.02393,-19.12697,-101.31386326794897,-108.8440898038469,49.66855427461432,65.25204122871834,-38.26374572538565,81.28811798666936,2.995302849742906,-62.385687764616286,-129.22989430051416,4.197931032565208,-24.651776313844948,-5.434763267948934,-48.21376980384688,-79.78812653589793,-19.519983660255164,-101.60014857512851,-136.9223338823081,-110.23738245743667,-81.22057061435915,-78.86322938564084
50,-16.09653,-18.0672,-16.09996,-18.70776,-17.48946,-22.74176,-31.43137,-23.85243,-20.09573,-22.87794,-21.41561,-24.83306,-25.10813,-22.14436,-21.19721,-33.37453,-23.98368,-23.57629,-21.48637,-18.06287,-100.01036326794897,-110.29808245743669,49.31796162102454,63.94474122871834,-38.551831032565225,81.18682533307958,2.9788734641020724,-62.48054776461628,-130.67810164692438,5.495716339744789,-24.525591006665366,-5.3072338823081076,-48.78551918948771,-78.52433388230813,-18.929861621024543,-100.17326326794893,-137.23951918948768,-109.36381184307749,-79.90477796076937,-80.20507346410207
51,-16.17593,-17.99456,-15.92613,-18.82766,-17.33573,-22.10654,-31.79437,-25.04361,-20.2395,-23.21687,-20.86914,-25.96484,-25.4286,-22.13352,-20.83451,-32.42307,-24.28432,-24.04806,-22.3629,-17.75279,-99.36495592153875,-109.4710824574367,48.95296162102453,65.05693388230813,-39.426631032565226,79.75611798666937,3.530780810512276,-62.35364907179587,-129.16046491487333,4.195331032565193,-23.633405699485778,-4.072829999999964,-50.33224122871833,-78.26487511102647,-17.683139581793924,-98.98744901923442,-136.99170449666727,-110.15619715025707,-81.04298530717956,-79.2653926535898
52,-16.05537,-17.9391,-15.74904,-18.89013,-17.14437,-21.50494,-33.54402,-25.63156,-20.072,-22.9108,-20.33891,-27.31762,-25.28677,-22.06005,-20.50118,-33.18346,-25.62815,-24.30396,-23.94754,-17.79258,-99.40705592153876,-108.73718980384689,49.58596162102452,63.61653388230813,-40.73343103256522,78.43601798666937,4.672202849742902,-61.95241511102648,-129.28947226128355,4.878945725385606,-22.40459100666537,-4.407916339744787,-50.777584496667295,-79.80083837897544,-18.612968967434753,-98.46483837897539,-136.61056041820603,-108.77162368615501,-80.08685142487143,-79.61091469282042
53,-15.97564,-17.77512,-15.62673,-19.06967,-17.21891,-20.94859,-35.47599,-27.09899,-19.9114,-22.29837,-19.90524,-29.43174,-25.61405,-22.65387,-20.17022,-32.8946,-26.03045,-23.80237,-24.16688,-17.89524,-98.92665592153875,-107.27668245743669,49.36736896743473,63.28364122871834,-41.3354089933346,77.37873267948977,4.054124888973526,-63.339204496667314,-130.27625756846314,5.588967764616228,-21.521591006665375,-4.8073338823081,-49.73785592153874,-80.23798980384689,-18.750146928204117,-98.37751754256325,-136.98070449666727,-108.14624572538563,-78.88925877128163,-80.64285142487145
54,-16.00602,-17.67366,-15.55402,-19.05837,-16.96793,-20.29529,-37.34901,-28.21214,-19.89537,-22.06272,-19.5109,-30.48262,-25.76759,-22.97857,-20.64786,-32.66712,-26.615,-22.48546,-24.59643,-19.07419,-100.46694857512855,-106.9530751110265,49.75136896743473,62.59404122871834,-40.244316339744806,75.9697547187204,4.815650000000014,-62.95996007179586,-129.85094287564272,7.032945725385602,-22.438176313844963,-5.442823686154995,-50.137995111026456,-80.90836041820606,-18.45171019615308,-98.17010756846314,-136.9211485751285,-109.4981118430775,-79.80388815692245,-82.01823673205105
